Afiliate number,Active,Name,FirstName,LastName,Email,WorkPhone,WhatsApp,Address,Web,Descripcion,City,Maps,Location,Discount,Logo,Facebook,Instagram,Category,Sub-Categoria,Service,Type,Sticker,Rating,Recommended,TyC
121,TRUE,Kantina de Humo,Natalia,,tacosdehumooficial@gmail.com [undefined:tacosdehumooficial@gmail.com],54 9 3435310162,54 9 3435310162,"Matamoros 20, Centro - Supmza. 001, 77400 Isla Mujeres, Q.R.",https://www.kantinadehumo.com/,The best damn tacos.,Isla Mujeres,https://maps.app.goo.gl/SahELLQKoVR4PFJA8,"21.25795705101007, -86.74875567672824",15%,https://drive.google.com/file/d/15mFdkNr0pd-oXnptA2sXvZCC53m_QoI3/view?usp=drive_link,,https://www.instagram.com/kantinadehumooficial,Mexican Restaurant Tacos,Mexican Tacos,#VALUE!,Restaurants,Yes,1,FALSE,NO
122,TRUE,Karen's,Wilbur,,admonrest.karens@gmail.com,9848795096,9848795096,5ta Av entre calles 2 y 4,https://karensrestaurante.com/,Live the best Mexican party!,Playa del Carmen,https://maps.app.goo.gl/BexJSVGP5mSR8fQBA,"20.62393966325681, -87.07451684418206",10%,apostrofe,https://www.facebook.com/karensrestaurant?mibextid=LQQJ4d,https://www.instagram.com/karensrestaurante?igsh=MWswemN5OXNlaTJ0eg==,Mexican Restaurant,Mexican,,Restaurants,Yes,1,FALSE,NO
123,TRUE,Katrina Nails,Miley Adyra,Acosta Perez,,9841140057,9841063367,"Calle 44 norte, Quinta Avenida 8, 77710 Playa del Carmen, Q.R.",,Beauty salon specialized in nails and eye specialists,Playa del Carmen,https://maps.app.goo.gl/PszCHMqSWp2pu8QBA,"20.637322887302172, -87.06476651349077",Hands and Feet Promotion,https://drive.google.com/file/d/1siEOUFUf5C1mG2Iu2lY_AQN1HnYxvQB7/view?usp=drive_link,,https://www.instagram.com/katrinasnailsplayac?igsh=MTU1bGlzMDdoeGhraw==,Service Manicure Salon & Spa,Manicure Salon & Spa,"Manicure-Manicure, Salon-Salon, Spa",Stores,Yes,1,FALSE,NO
124,TRUE,Kizushi,,,hola@kizushi.com.mx,9982028228,998 256 4599,"Avenida Uxmal Y Tulum Sm 2 20, 77500 Q.R.",https://carta.menu/amp/restaurants/cancun/kizushi-restaurante,Specialty sushi and Japanese dishes,Cancún,https://maps.app.goo.gl/xz3XsSPAK9qsXY596?g_st=ic,"21.153689967683814, -86.82549154418206",10%,https://drive.google.com/file/d/1f7i5iib-XiE0nFqcZk4-RyBbssVUNjfZ/view?usp=drive_link,https://www.facebook.com/kizushirestaurante?mibextid=LQQJ4d,https://www.instagram.com/kizushi/?hl=en,Sushi Restaurant,Sushi,,Restaurants,Yes,1,FALSE,NO
125,TRUE,La Bikina,Eduardo,,labikinabacalar@gmail.com,983 131 4861,9831314861,calle 28 mz 2 lt 1 Esq. av.3 Mario villa nueva,,Mixology & Meats,Bacalar,https://maps.app.goo.gl/9myCQQsAzhKERn2S6,"18.681810304747152, -88.38807254603695",Complimentary drink,https://drive.google.com/file/d/19JPhEgkUs58SeVy0NjTgl-3LF_09Xgf3/view?usp=drive_link,https://www.facebook.com/labikinabacalar/,https://www.instagram.com/labikinabacalar/,Restaurant Bar & Grill,Bar & Grill,,Restaurants,Yes,1,FALSE,NO
126,TRUE,La Barra Cruda,Joni,,,9987344576,9987344576,"Calle Candelero, El Cañotal",,"Wings, burgers, boneless, grill.",Isla Mujeres,https://maps.app.goo.gl/JgayyN6ogBWpK7QNA?g_st=ic,"21.22311701722231, -86.7289711306913",Gift drink accompanying main course,https://drive.google.com/file/d/1h0avgc7oR3jsu-OxjWI19Up1YHNq2O8Y/view?usp=drive_link,https://www.facebook.com/labarracrudaim?mibextid=LQQJ4d,,Restaurant Mexican Wings & Boneless,"Mexican Wings & Boneless
127,TRUE,La Brasa Tulum,Morena,,,9841123944,9841123944,"Calle Centauro Sur, Calle Sol Ote. entre calles Andromeda, y Centro, 77760 Tulum, Q.R.",,"Flavor of embers, grill and wine.",Tulum,https://maps.app.goo.gl/VdEd5hnMpKHcr87z8?g_st=ic,"20.21137008900066, -87.45909282883639",10%,https://drive.google.com/file/d/1-qeBkY13i33wWdIGU0SgKTPMdc51YFa1/view?usp=drive_link,https://www.facebook.com/profile.php?id=100076110222455&mibextid=LQQJ4d,https://www.instagram.com/labrasatulum/?hl=es,Restaurant Parrilla - grill,Grill - grill,,Restaurants,Yes,1,FALSE,NO
128,TRUE,La Casa de Lau,laura,,lauris_2911@hotmail.com,5539778179,5539778179,"C. 10 84, Magisterial, 77930 Bacalar, Q.R.",https://lacasadelauu.com/,Breakfast and brunch restaurant.,Bacalar,https://maps.app.goo.gl/FLVYkz66dswGWc5m8,"18.672458189606576, -88.3931644",1 coffe or water free,https://drive.google.com/file/d/1aIy79MGUaL2CWzbAqn4MHQCkXhV7n53S/view?usp=drive_link,https://m.facebook.com/lacasadelauu,https://www.instagram.com/lacasadelauu/,Restaurant Breakfast & Brunch,Breakfast & Brunch,,Restaurants,Yes,1,FALSE,NO
129,TRUE,Las Cazuelitas,Glendy,Prezuel,glendy_132@hotmail.com,9843145358,,"Av. Damero entre Carito y Palomino, 77310 Holbox, Q.R.",,,Holbox,https://maps.app.goo.gl/b5QqMeBqCFhg8SDd8,"21.524606360434497, -87.37865262099209",Drink when purchasing chilaquies,https://drive.google.com/file/d/1OGDopxWRJLZ4eYTS-h9aNeMkbHt9xZ-K/view?usp=drive_link,https://www.facebook.com/p/Las-Cazuelitas-tacos-de-guisado-100064661005006/,,Mexican Restaurant,Mexican,,Restaurants,Yes,1,FALSE,NO
130,TRUE,La Cocay,Angel,Escamilla,admlacocay@gmail.com,9871054307,9871054307,Calle 8 Norte 208,https://lacocay.com/menu/,"In 1995, La Cocay originally opened as a seasonal restaurant, but quickly became a year-round oasis of good food.",Cozumel,https://maps.app.goo.gl/RmBa7ABnaE3CXMP7A,"20.51271565169501, -86.945215",Complimentary sangria,https://drive.google.com/file/d/1YWKUkTKPl9rppRUDswl2uQxOix1GdUUN/view?usp=drive_link,https://www.facebook.com/LaCocayRestaurant/?locale=es_LA,https://www.instagram.com/lacocay/,Mediterranean Restaurant,Mediterranean,,Restaurants,Yes,1,FALSE,NO
131,TRUE,Casa Iguana Holbox,Natalia,Sanchez,casaiguanahbx@hotmail.com,9982286659,984 106 9576,"Calle Chac Chi y Damero, 77310 Isla Holbox, Quintana Roo",https://www.casaiguanaholbox.com/,"Beautiful small hotel with ocean view rooms, pool and restaurant on Holbox beach",Holbox,https://maps.app.goo.gl/aRuvLZ6ycdWCzNhLA,"21.527395737814963, -87.37520748650923",5% discount,https://drive.google.com/file/d/1Z3j89VZvuO3G6Q5Srv3AQGRJdU4lUlL-/view?usp=drive_link,,https://www.instagram.com/casaiguanahbx/,Restaurant International,International,,Restaurants,Yes,1,FALSE,NO
132,TRUE,La Inombrable,Manolo,Marrufo,lainombrablecozumel@gmail.com,‪987 118 1138‬,987 118 1138‬,Avenida rafael E. Melgar 201,https://www.lainombrable.com/,"Contemporary kitchen. The perfect combination of exquisite food, mixology and good atmosphere.",Cozumel,https://maps.app.goo.gl/waiZAYQuas5F6RVHA?g_st=ic,"20.513041186718937, -86.94827478836415",1 Cocktail,https://drive.google.com/file/d/1YjZw7OCg1D5eelNi6xj8jk92CiHV2aat/view?usp=drive_link,https://www.facebook.com/lainombrablecozumel?mibextid=LQQJ4d,https://www.instagram.com/lainombrablecozumel?igsh=MXN5Z2dybTh2ejJ5cA==,restaurant Bar,Bar,,Restaurants,Yes,1,FALSE,NO
133,TRUE,La Malinche Pueblo,Juan,Pablo,,6181516695,6181516695,"Av. Coba 107, 77760 Tulum, Q.R.",,"Mexican food, Tacos, Mezcal, Tequila and Cocktails",Tulum,https://maps.app.goo.gl/Tmc7Rxicxm1cT4Ce8,"20.208110742859738, -87.45123489806127",10%,https://drive.google.com/file/d/1nDo1cZdR8bK7Cn7iTZs69W-KCkEBgvik/view?usp=drive_link,https://www.facebook.com/profile.php?id=61558769166676&locale=es_LA,,Mexican Restaurant,Mexican,,Restaurants,Yes,1,FALSE,NO
134,TRUE,La Malinche Tulum,Alberto,torres,lamalincheartandfood@gmail.com,6181008879,6181008879,"Carretera Tulum - Boca Paila, km 7.5, Tulum Beach, 77580 Tulum, Q.R.",,"Mexican Food, Tacos in Tulum",Tulum,https://maps.app.goo.gl/mFxhBDLmySuc5rwr5,"20.156708133042173, -87.45651785396305",10% + 2X1 on daisies,https://drive.google.com/file/d/1s4Sh8WgOqpfo777fs5U8BBciV6bD0yvt/view?usp=drive_link,https://www.facebook.com/p/La-Malinche-Tulum-100042365906245/?locale=es_LA,https://www.instagram.com/lamalinchetulum/?hl=es,Mexican Restaurant,Mexican,,Restaurants,Yes,1,FALSE,NO
135,TRUE,La Michoacana Huayacán,,,chefpaulino18@gmail.com,9982912726,,Av huayacan plaza murano. Super manzana 313.manzana 227. 77533 cancun quintana roo,,Gourmet artisanal ice creams and popsicles with a wide variety of flavors.,Cancún,https://maps.app.goo.gl/pgu6peXHLxe3u3LL6,"21.121025525434483, -86.8440881288364",1 pallet with consumption of $300,https://drive.google.com/file/d/1WQbsXkvYm4vxrhgURPfzprCqAPjc7obM/view?usp=drive_link,https://www.facebook.com/LaMichoacanaHuayacan?mibextid=ZbWKwL,,Store Ice Cream,Ice Cream,,Stores,Yes,1,FALSE,NO
136,TRUE,La Parrilla Grill,Jesus,,,9971449093,9971449093,Puerto cancun 77500,https://laparrilla.com.mx,Mexican Grill Restaurant,Cancún,https://maps.app.goo.gl/XZe5kYnA1it9K3ZR7?g_st=ic,"21.161031372765727, -86.80936264232716",Complimentary drink,https://drive.google.com/file/d/1LfukZBujNgfNURyAWTNPJTEtZ_GWBaEl/view?usp=drive_link,https://www.facebook.com/laparrillacancun?mibextid=LQQJ4d,https://www.instagram.com/laparrillacancun?igsh=MTlraXNiZTZpams5dw==,Restaurant Parrilla Grill,Grill Grill,,Restaurants,Yes,1,FALSE,NO
137,TRUE,La Sirena,Julio ,Montesdeoca,lasirenapm@gmail.com,9982932671,9983924081,"Calle Jose Maria Morelos Mz 4, 77580 Puerto Morelos, Q.R.",,Locally inspired Mediterranean cuisine using local ingredients.,Puerto Morelos,https://maps.app.goo.gl/VAnQeoNNybGqLDoT7,"20.848115435497213, -86.87559571534564",10%,https://drive.google.com/file/d/1jM1JO9UIgPNRtaVCaxPvEZEYk8WEcVTE/view?usp=drive_link,https://www.facebook.com/LaSirenaPM?mibextid=LQQJ4d,https://www.instagram.com/lasirenapuertomorelos?igsh=MW12YngxYzlxZWp4ag==,Restaurant Greece,Greece,,Restaurants,Yes,1,FALSE,NO
138,TRUE,Las Supersónicas,Aime,Plata,lassupersonicascun@gmail.com,998 169 8816,9981544930,"Av Nader, esquina Huachinago L122 M3 cancun",https://lassupersonicas-mex.ola.click/?fbclid=IwAR3MISyZMlMWQQRgfYFDCy9L-PduzMeGHyuTN4NxnlaxMZQit5YjmJ-dHmQ_aem_AaLOP-KkE_qEeD2LMZmiB4IH3Qr72epusTYrGY3msAeEenqSFsKb5rgRtPFx7KWQya8thfqVhVnJab3I8Wgx45Vz,"Delicious Burgers, Techno Music, Munchies, Smoothies and Mixology",Cancún,https://maps.app.goo.gl/Ar8TauHBruw9j8kQA?g_st=ic,"21.161119861909054, -86.82398917116357",10%,https://drive.google.com/file/d/1CFEQdAYFrUgHRW3luw5ipW9otyEcFVCx/view?usp=drive_link,https://m.facebook.com/lassupersonicascun/,https://www.instagram.com/las_supersonicas?igsh=anJwc2o2d2t0c3Y4,Restaurant Burguers,Burgers,,Restaurants,Yes,1,FALSE,NO
139,TRUE,La Tablita,Yara,Nieto,,9982188690,9982188690,"Av. Guerrero, Centro - Supmza. 001, 77400 Isla Mujeres, Q.R.",https://www.alamy.com/la-tablita-bar-hemingway-isla-mujeres-caribbean-coast-cancun-quintana-roo-mexico-image548764658.html,Mexican restaurant,Isla Mujeres,https://maps.app.goo.gl/7MynXcEP59Ej1nog9?g_st=ic,"21.258381980135123, -86.74816124418206",Tequila shot,https://drive.google.com/file/d/1D5-xWNU3X4cWmNd-zmVRnfNmz6JXuRpB/view?usp=drive_link,,,Mexican Restaurant,Mexican,,Restaurants,Yes,1,FALSE,NO
140,TRUE,La Vecchia Pizza,Sebastian,,lavecchiapizzacancun@gmail.com,9981400326,9981400326,Av huayacan mzn 313. 77560 cancun quintana roo,https://restaurantsnapshot.com/lavecchia/,"Pizzeria to your liking and Italian haute cuisine dishes such as: Risottos, pastas, lobster, ossobuco and salads. The best Italian wines.",Cancún,https://maps.app.goo.gl/BqQh4mrTU151BqUa6,"21.121197209083864, -86.84419028836415",Complimentary Drink,https://drive.google.com/file/d/1u07TJqKfHWrQJh92ABcSwAR98b4FHd5X/view?usp=drive_link,https://www.facebook.com/LaVecchiaPizza?mibextid=ZbWKwL,https://www.instagram.com/lavecchiapizza/,Restaurant Pizzeria,Pizza shop,,Restaurants,Yes,1,FALSE,NO
141,TRUE,La Veleta Rental Bike,Jaime,,Reservations@chefluislula.com,9841789598,9841789598,Calle palenque y calle 7 sur,,Bike rental,Tulum,https://maps.app.goo.gl/iETQ14Q95J414u9j7?g_st=ic,"20.204064457904956, -87.47072263100809",10%,https://drive.google.com/file/d/1TQ3Z78Jsq0Arc56q-E6pnRddFbFoCMSU/view?usp=drive_link,https://m.facebook.com/laveletarentalbike/,https://www.instagram.com/explore/locations/106189011114233/la-veleta-rental-bike/,Bike Rental Service,Rental Bike,Rental Bike,Services,Yes,1,FALSE,NO
142,TRUE,La Verbena,Pablo,Mario,nevermind_films@hotmail.com,9841775419,9841289991,5ta Av con calle 34,https://carta.menu/amp/restaurants/playa-del-carmen/la-verbena,"Bar Restaurant with Super Relaxing Beach Atmosphere, Incredible Music.",Playa del Carmen,https://maps.app.goo.gl/FNj9uKQEzFQE8RJX6?g_st=ic,"20.63421915364456, -87.06756831349075",10%,https://drive.google.com/file/d/1cObAdRJPYoXnyUs5rkOwr9AzDnlW8EYV/view?usp=drive_link,https://m.facebook.com/laverbenaplaya/,https://www.instagram.com/la_verbena_playa/,"Restaurant Bar, Birreria","Bar, Birreria",,Restaurants,Yes,1,FALSE,NO
143,TRUE,Las Hijas de la tostada,Selene,Rios,,9841569167,984230 085,"5 Av. Nte con calle 38. Zazil-ha, 77720 Playa del Carmen, Q.R.",http://www.lashijasdelatostada.com/5ta-av-y-2-nte.php,The Best Sea Food in Town,Playa del Carmen,https://maps.app.goo.gl/noGLHRHSpFwYP39u7?g_st=ic,"20.636054669864848, -87.06574457116358",Welcome Drink,https://drive.google.com/file/d/1bRvQegDRc6duRFwjFsYeEOneUdJ2HHLo/view?usp=drive_link,https://www.facebook.com/lashijasdelatostada.playa?mibextid=LQQJ4d,https://www.instagram.com/lashijasdelatostada.playa/,Mexican Restaurant,Mexican,,Restaurants,Yes,1,FALSE,NO
144,TRUE,Las Pescadillas,Jessica,Vázquez ,pescadillas.factura1@gmail.com,5545902416,5545902416,Parque las palapas,,Tacos and chelas in the palapas park Cancun,Cancún,https://maps.app.goo.gl/AGj2dYRqSRS526757,"21.160243409444266, -86.82771959633212",10%,https://drive.google.com/file/d/1MY8Xq32E_YmbOqTrGAmQI5C5r9SCftZW/view?usp=drive_link,https://www.facebook.com/people/Las-Pescadillas-Las-Palapas/100063629137429/?locale=be_BY&paipv=0&eav=AfYcPLi_0XQX9ngtcEv6UPQCejYCvHd9iUHXK4_Xv66A4nFa-Y4BZbTV2mkA93TEOz0&_rdr,https://www.instagram.com/pescadillaslaspalapas?igsh=ZjRxenhneHV2dmR3,Mexican Restaurant,Mexican,,Restaurants,Yes,1,FALSE,NO
145,TRUE,Las Tostadas Del 28,Daniel,Martinez Rios,promofuntours777@gmail.com,9982215045,9982215045,"Xel-ha 13, 77509 Cancún, Q.R.",,Cevicheria,Cancún,https://maps.app.goo.gl/4aSKgR6iJh6EWy9e9,"21.16055034607747, -86.83379701534565",fish and ceviche with soft drink $220,https://drive.google.com/file/d/1lh25-dvjYhetcgxz9VH8JV55Nmdc3fII/view?usp=drive_link,,,Mexican Restaurant,Mexican,,Restaurants,Yes,1,FALSE,NO
146,TRUE,Las Tostadillas del Mar,Aldo,Fragosa,lol@gmail.com,9981475824,9981475824,"Av Nader y calle Rubia, 77500 Cancún, Q.R.",https://lastostadillas.restaurantwebexperts.com/,Delicious Tacos Tostadas and Micheladas! We have an excellent environment and the best prices,Cancún,https://maps.app.goo.gl/ZeRGxx2ooxyao2fK7,"21.163009297273707, -86.82390545767284",Welcome Beer,https://drive.google.com/file/d/1BIuzX8bLYHA0QUlmTAc-lTPLMOHZz-bB/view?usp=drive_link,https://www.facebook.com/LasTostadillasDelMarRutaNader/?locale=es_LA,https://www.instagram.com/tostadillastucanes/,Mexican Restaurant,Mexican,,Restaurants,Yes,1,FALSE,NO
147,TRUE,Layla Restaurant Bar,Erick,Morales,info@laylaguesthouse.com,984 311 1619,9847458803,Av. Rafael E. Melgar 2 Layla Guesthouse,https://laylaguesthouse.com/restaurant/,Restaurant,Puerto Morelos,https://maps.app.goo.gl/GKhN4PFKcKU7D7a88,"20.872889753030172, -86.86919579414425",Coffee or Welcome Drink,https://drive.google.com/file/d/1B0jUb1Mt75-uzd6pJ3Tzz5j7Paz4nSIg/view?usp=drive_link,https://www.facebook.com/LaylaPuertoMorelos,https://www.instagram.com/laylapuertomorelos/,Restaurant Guest House,Guest House,,Restaurants,Yes,1,FALSE,NO
148,TRUE,Lázaro,oscar,Marin gonzalez,contactolazaroholbox@gmail.com,9841770842,9841770842,"Calle Tiburón Ballena, 77310 Holbox, Q.R.",https://l.instagram.com/?u=https%3A%2F%2Fwww.opentable.com.mx%2Fr%2Flazaro-wine-club-and-modern-eatery-holbox%3Fcorrid%3Dde0ddc84-6043-4420-ade9-0d59bee245b1%26avt%3DeyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ%26p%3D2%26sd%3D2023-08-03T19%253A00%253A00&e=AT06nMnxvSreY7gvzb4TgMyM5il3Hfm_p4SDcmGP7zGNuLR213EV7xmiRUGbw-OfugBE4Q6LyhZlpXOdQDhXnssMzJdbeubO,Good food. Fine Drinks and Chidos Wines,Holbox,https://maps.app.goo.gl/GJWb81anD5bjVAR6A,"21.52380440373218, -87.3794807369338",10%,https://drive.google.com/file/d/1KOMH7arK064oJoLFi53jAfEMU4dx4xYO/view?usp=drive_link,,https://www.instagram.com/lazaroholbox/?igsh=MWsweWhqNXJvNWhvMg%3D%3D,Restaurant International,International,,Restaurants,Yes,1,FALSE,NO
149,TRUE,ChouxChoux Café ,Gonzalo,Pech Castillo,Leptitshpux@gmail.com,9843152960,9843152960,5ta avenida con calle 56 M298 L1,https://chouxchoux.mx,Restaurant Cafe,Playa del Carmen,https://maps.app.goo.gl/S5ffKAKdDMMk5urE9?g_st=ic,"20.640042924003133, -87.06275798465434",15%,https://drive.google.com/file/d/1HZC4ZUUn4HpK2yLiuojCWbHwgV-v5Hi-/view?usp=drive_link,https://www.facebook.com/chouxchouxcafe?mibextid=LQQJ4d,https://www.instagram.com/chouxchouxcafe/?hl=es-la,"Restaurant Breakfast-Breakfast, Cafe","Breakfast-Breakfast, Coffee",,Restaurants,Yes,1,FALSE,NO
150,TRUE,Leemba Tulum,Facundo,,redes@mundo-maya.com,9841318390,9841318390,"5G6W+H8, Tulum Beach, 77766 Tulum, Q.R.",,beach club,Tulum,https://maps.app.goo.gl/zevTWnxhGURWFrAC9?g_st=ic,"20.16157346422813, -87.45411239814511",20% and welcome shots,https://drive.google.com/file/d/17NVQml9OmdR-a7z7ZVoWAxF_HM3tpg0h/view?usp=drive_link,https://www.facebook.com/profile.php?id=61556527731324&locale=es_LA,https://www.instagram.com/leembatulum?igsh=MXFrMGFseDczYXloZA==,Restaurant Beach club,beach club,,Restaurants,Yes,1,FALSE,NO
151,TRUE,Lemon Car Rental,Jonathan,Cruz,info@lemoncar.com.mx,9848079369,9848079369,"calle 12 local 1, entre av. 10 y av.15",,Car rental,Playa del Carmen,https://maps.app.goo.gl/vXZkWxkJVz1NgD2x5,"20.627663753998103, -87.07301996539591",10% ó 15 % renting more than 15 days,https://drive.google.com/file/d/1xaXSmqCeHEZJrSTFXb2hgIU61_Oi35WA/view?usp=drive_link,https://www.facebook.com/profile.php?id=100092238852357,,Service Rental Cars,Rental Cars,Car rental,Services,Yes,1,FALSE,NO
152,TRUE,Lemon Group,Jonathan,Cruz,info@lemoncar.com.mx,9848079369,9848079369,Calle 12 entre 15 y 10 av,,Car rental,Playa del Carmen,https://maps.app.goo.gl/NKYoA8KPQgYYQJ4y7,"20.626775913350688, -87.07493608465434",10% or 15% renting more than 15 days,https://drive.google.com/file/d/1oLTz3jkpeIs-81YeUizLYY3wshnlG3R0/view?usp=drive_link,https://www.facebook.com/profile.php?id=100092238852357&sk=photos,https://www.instagram.com/lemongroup.mx/?locale=ne_NP&hl=ar,Service Rental Cars,Rental Cars,Car rental,Services,Yes,1,FALSE,NO
153,TRUE,Lemonade Beauty Bar,Karla ,Rocha,,9981927231,9981927231,"Av Huayacán Plaza, momoto",,Manicure and pedicure salon,Cancún,https://maps.app.goo.gl/33XPXFDHvVbmyDbV9,"21.117602220686077, -86.84613455767283",10%,https://drive.google.com/file/d/1oE9KQ_5ock0EEylyBVcMERO8zkpSYXI3/view?usp=drive_link,https://www.facebook.com/profile.php?id=100076673090194&mibextid=ZbWKwL,,Manicure Service,Manicure,"Manicure-Manicure, Salon-Salon",Stores,Yes,1,FALSE,NO
154,TRUE,LMR Abogados & Asociados,Blanca Lilia ,Morales Romero,lmrabogados@outlook.com,9841094628,9841094628,"Calle Kantunilkin entre coba y tulum, Mz 8 lote 6 colonia nueva creación",,"Lawyer Service, Immigration Lawyers",Tulum,https://maps.app.goo.gl/q7AuE9fppfiMRiyj9,"20.62626606597526, -87.0807246",Free advice,https://drive.google.com/file/d/1rLAVkhMNTP1wBDvAaLb26ezDVjuuby11/view?usp=drive_link,https://www.facebook.com/lmrabogados?mibextid=LQQJ4d,,Service Lawyer,Lawyer,Lawyer,Services,Yes,1,FALSE,NO
155,TRUE,Løoch,Belem Haizama,Guizar Alfaro,looch.artesanal@gmail.com,9842696669,9842696669,55 avenida mz219 lote 6,,Cosmetology and biodegradable and natural products.,Playa del Carmen,https://maps.app.goo.gl/Vguu1Br6dgU5v1Cy5,"20.631182553481327, -87.08588666483733",15gr Dry Shampoo gift,https://drive.google.com/file/d/1qSxnjYukEKIt85QtmalFiyFmBMGB4I3p/view?usp=drive_link,https://www.facebook.com/Looch.Artesanal?locale=es_LA,https://www.instagram.com/looch.artesanal/?hl=es-la,Store Beauty Products,Beauty products,Beauty products,Stores,Yes,1,FALSE,NO
156,TRUE,Los Compadres,Marisol,Castillo,compadresisla@gmail.com,9988770126,9988770126,"Miguel Hidalgo MZA 14 LTE 8, Centro - Supmza. 001, 77400 Isla Mujeres, Q.R.",,"Mexican Food, Pastas, Pizza, Breakfast, Buffett Breakfast, Family, Seafood.",Isla Mujeres,https://maps.app.goo.gl/99jAVnSe3byZXqaj9,"21.257351176781892, -86.74746252883641",Get a free margarita with your food,https://drive.google.com/file/d/1RWaLKbaN4UwiBwowCWQHDOejjAZ7Vb3_/view?usp=drive_link,https://www.facebook.com/CompadresIsla?mibextid=LQQJ4d,,Mexican Restaurant,Mexican,,Restaurants,Yes,1,FALSE,NO
157,TRUE,Los Compas,Javier,Martinez,loscompasplaya@gmail.com,3318012268,3318012268,"C. Hom 31, Balam Tun, 77727 Playa del Carmen, Q.R.",https://linktr.ee/taquerialoscompas?fbclid=IwZXh0bgNhZW0CMTAAAR1N4-aPO_w1iYAwsxjb0blF3LDNL_n0BAVnoW2idifnFsyP9uY6FsdNM5U_aem_ARREKehot8Cy1yd63_tDIqu2LdQDVGK9E6kxSFYMWuh961wDLERDp0AwQjgoO2F7Ebr_aEviLhLRfG3qKYOBgy0V,The coolest tacos and skis in Playa del Carmen!,Playa del Carmen,https://maps.app.goo.gl/7CZaRLoQvQ79onEC6,"20.671678752502284, -87.0409652",2x1 in al pastor tacos,https://drive.google.com/file/d/1MxF4WZ1wAtpZ23ifQepCqHmAmWOwhB4W/view?usp=drive_link,https://www.facebook.com/LosMejoresTacosEnPlaya/?locale=es_LA,https://www.instagram.com/los_compas_taqueria/?hl=es-la,Mexican Restaurant Tacos,Mexican Tacos,,Restaurants,Yes,1,FALSE,NO
158,TRUE,L'Osteria by Foco Loco,Francesco,,losteria_info@gmail.com,9981046618,9981046618,"Avenida satelite mza 15 lote 2 Sanitario sur Centro, Tulum Centro, 77760 Tulum, Q.R., Messico",https://linktr.ee/losteria.tulum,"Italian osteria with homemade food, wine, beer and cocktails, pizza and pasta.",Tulum,https://maps.app.goo.gl/hpaBVnxUUAQARnA59,"20.213797846458334, -87.45887408465434",10%,https://drive.google.com/file/d/1L-2-x3MHz2mPAejtDOQzwExDHwpJqPYp/view?usp=drive_link,https://www.facebook.com/losteria.tulum/,https://www.instagram.com/losteria_tulum?utm_source=qr&igsh=azZqcG9oNzM1NXNl,Italian Restaurant,Italian,,Restaurants,Yes,1,FALSE,NO
159,TRUE,M7 Beach Food Music,Stefano,Juarez ,m7beachf@gmail.com,8113772059,2292055045,"Av Rueda Medina Mz2 Lt05, Centro, 77400 Isla Mujeres, Q.R.",,"Beach, Food and Music, slow down and enjoy life.",Isla Mujeres,https://maps.app.goo.gl/9TiN7Rey4QkGJ8WE7,"21.256503417669233, -86.74810737672827",Free margarita with your meal,https://drive.google.com/file/d/1SMtxnKUI6mYyKxhOe8G6NxvSiU6s8DpE/view?usp=drive_link,https://www.facebook.com/m7beach/,https://www.instagram.com/m7beach/,Restaurant Beach club,beach club,,Restaurants,Yes,1,FALSE,NO
160,TRUE,Machete Restaurante,Reyna,Chi,admon.grupopiso@gmail.com,9871371724,9871371724,"Av. Doctor Adolfo Rosado Salas 221, Centro, 77665 Cozumel, Q.R.",https://machete.restaurantwebexperts.com/,Enjoy the best 100% regional dishes with the best atmosphere!,Cozumel,https://maps.app.goo.gl/88itwHuF1B5C4JjZA,"20.509011512552764, -86.95050281349077",10%,https://drive.google.com/file/d/1gTdDsLhaf6fq6ehYHXDM91Izvgyri-0j/view?usp=drive_link,https://www.facebook.com/MacheteCozumel,https://www.instagram.com/machetetacogrill/,Mexican Restaurant,Mexican,,Restaurants,Yes,1,FALSE,NO
161,TRUE,Machito Surf Lessons,Miguel,Gonzalez,machetoo@gmail.com,9871055652,9871055652,"55 Avenida Sur 600, 77667 Cozumel, Quintana Roo, Mexico",https://cozumelsurfschool.com.mx/,"Surf classes, diving equipment rentals, tours, couch.",Cozumel,https://maps.app.goo.gl/ro1YfGAFpFCiCAuj8,"20.498538283629433, -86.94574377521226",20%,https://drive.google.com/file/d/17zoAaGkpZDuHCWcEYG0tKxHHjkqPb6oT/view?usp=drive_link,https://www.facebook.com/cozumel.surf/,https://www.instagram.com/machito_surf_lessons_/,Service surf school,Service,surf school,Services,Yes,1,FALSE,NO
162,TRUE,Maki Mori,Ruth,Cetina ,administracion@grupo984.com,9847456744,9847456744,"5ta Avenida y calle 38 Zazil-ha, 77720 Playa del Carmen, Q.R.",https://makimori.com.mx/,Japanese Sushi Restaurant,Playa del Carmen,https://maps.app.goo.gl/qMm3D88mQR1qawsd6?g_st=ic,"20.63604334616851, -87.06572628650923",10%,https://drive.google.com/file/d/1g4zOoowUtwT5rfDZRTtnqrJ3wplAOgpa/view?usp=drive_link,https://m.facebook.com/people/MakiMori/61551745273981/,https://www.instagram.com/makimoriplayadelcarmen/,Japanese Restaurant,Japanese,Sushi,Restaurants,Yes,1,FALSE,NO
